name	alias	rule	topic_ecosystem	notes
Methanogen	methanogen	mcr & notOtherMethanogen	energy
	mcr	K00399 | K00400 | K00401	energy	ARCHAEA-MOD: restricted to mcrA/B/G (diagnostic of methanogenesis/ANME); removed K00402 (mcrC, non-catalytic) and K03421/K03422 (mvhDG, shared with non-methanogens like Archaeoglobus)
	notOtherMethanogen	not(OtherAjMethanogen)	energy
	OtherAjMethanogen	sulfatereducer | Denitrifier | AerobicAmmoniaOxidizer | comammox | annamox | Phototroph | ETC60	energy
Aerobic Ammonia Oxidizer	AerobicAmmoniaOxidizer	AmmoniaMonooxygenase | [AmmoniaMonooxygenase & HydroxylamineDehydrogenase]	energy
	AmmoniaMonooxygenase	EC1.14.99.39 | K10944 | K10945 | K10946	energy
	HydroxylamineDehydrogenase	EC1.7.2.6 | K10535	energy
Comammox	comammox	AmmoniaMonooxygenase & NitriteOxidoreductase & HydroxylamineDehydrogenase	energy	ARCHAEA-MOD: bug fix — comammox requires HAO (nitrification step 2), not HDH (anammox-specific). Original rule could never classify any organism
	NitriteOxidoreductase	K00370 | K00371	energy
	HydrazineDeydrogenase	EC1.7.2.8 | K20935	energy
annamox	annamox	HydrazineDeydrogenase & HydrazineSynthase	energy
	HydrazineSynthase	EC1.7.2.7 | K20932 | K20933 | K20934	energy
Nitrogen fixer	NitrogenFixer	Nitrogenase	energy
	Nitrogenase	EC1.18.6.1 | EC1.18.6.2 | K02591 | K02586 | K02588 | K00531 | K22897 | K22896 | K22898 | K22899	energy
Phototroph	Phototroph	PhotosystemI | PhotosystemII	energy
	PhotosystemI	K02689 | K02690 | K026901 | K02692 | K02693 | K02694 | K08940 | K08941 | K08942 | K08943	energy
	PhotosystemII	K02703 | K02704 | K02705 | K02706 | K02707 | K02708 | K08928 | K08929	energy
	ETC60	percent60ComplexIA | percent60ComplexIB | percent60ComplexIC	energy
	ETC50	percent50ComplexIA | percent50ComplexIB | percent50ComplexIC	energy
	percent50ComplexIA	percent(50,ComplexIA)	energy
	percent50ComplexIB	percent(50,ComplexIB)	energy
	percent50ComplexIC	percent(50,ComplexIC)	energy
	percent60ComplexIA	percent(60,ComplexIA)	energy
	percent60ComplexIB	percent(60,ComplexIB)	energy
	percent60ComplexIC	percent(60,ComplexIC)	energy
	ComplexIA	K00330,[K00331 & K00332 & [K00333 | K00331] & [K13378 | K13380]],K00334,K00335,K00336,K00337,K00338,K00339,K00340,[[K00341 & K00342] | K15863],K00343	energy
	ComplexIB	K05574,K05582,K05581,K05579,K05572,K05580,K05578,K05576,K05577,K05575,K05573,K05583,K05584,K05585	energy
	ComplexIC	K03945,K03946,K03947,K03948,K03949,K03950,K03951,K03952,K03953,K03954,K03955,K03956,K11352,K11353	energy
Fermenter	Fermenter	not(NegativeForFermenter)	energy
	NegativeForFermenter	ETC50 | methanogen | Denitrifier | sulfatereducer | AerobicAmmoniaOxidizer | Aerobe | Microaerophillic | Phototroph	energy
	Denitrifier	ETC50 & [NitrateReductase | NitriteReductase | NitricOxideReductase | NitrousOxideReductase]	energy
	NitrousOxideReductase	K00376 | EC1.7.2.4	energy
	NitricOxideReductase	K04561 | K02305 | EC1.7.2.5	energy
	NitriteReductase	K00368 | K15864 | EC1.7.2.1	energy
Aerobe	Aerobe	CytochromeCOxidase | CytochromeAa3600MenaquinolOxidase | CytochromeOUbiquinolOxidase	energy	ARCHAEA-MOD: removed ETC50 requirement — archaea use diverse respiratory architectures (Fpo, reduced Nuo variants); terminal oxidase presence is sufficient to infer aerobic respiration
	CytochromeCOxidase	K02275 | K02274 | K02276 | K15408 | K02277	energy
	CytochromeAa3600MenaquinolOxidase	K02827 | K02826 | K02828 | K02829	energy
	CytochromeOUbiquinolOxidase	K02297 | K02298 | K02299 | K02300	energy
Microaerophillic	Microaerophillic	percent50CytochromeBDUbiquinolOxidase | percent50CytochromeCOxidaseCBB3	energy	ARCHAEA-MOD: removed ETC50 requirement (see Aerobe); cytochrome bd or cbb3 presence alone diagnoses microaerophily in archaea
	percent50CytochromeBDUbiquinolOxidase	percent(50,CytochromeBDUbiquinolOxidase)	energy
	percent50CytochromeCOxidaseCBB3	percent(50,CytochromeCOxidaseCBB3)	energy
	CytochromeBDUbiquinolOxidase	K00425,K00426,K00424 | K22501	energy
	CytochromeCOxidaseCBB3	K00404 | K00405 | K15862,K00407,K00406	energy
	NotNarNapNrf	not(NarNapNrf)	energy
	NarNapNrf	NitrateReductase | NRF	energy
	NitrateReductase	K00370 | K00371 | K00374 | K02567 | K02568 | EC1.7.5.1 | EC1.9.6.1	energy
Iron Oxidation	IronOxidation	[Cyc2 | PioA | Fe:sulfocyanin | foxEYZ | foxABC] & [Microaerophillic | Aerobe | sulfatereducer | Denitrifier | Phototroph]	energy
	Cyc2	Fe:Cyc2_repCluster1	energy
	PioA	PlaceHolder	energy
	foxEYZ	Fe:FoxE | Fe:FoxY | Fe:FoxZ	energy
	foxABC	Fe:FoxA | Fe:FoxB | Fe:FoxC	energy
	PlaceHolder	FALSE	energy
Probable Iron Reduction	ProbIronReduction	[notIronReductionGenes | hemeCount] & ETC50	energy
	notIronReductionGenes	not(IronReductionGenes)	energy
	hemeCount	NotUnironDescription -> column_count_values(heme_regulatory_motif_count,ge,4,ge,3)	energy
	NotUnironDescription	not(UnironDescription)	energy
	UnironDescription	filter_contains(kegg_description,"nitrate reductase")	energy
Iron Reduction	IronReduction	IronReductionGenes & ETC50	energy
	IronReductionGenes	mtrCAB | Fe:omcF | Fe:omcS | Fe:omcZ | Fe:DFE_operons | Fe:FmnA	energy
	mtrCAB	Fe:MtrA & Fe:MtrB_TIGR03509 & Fe:MtrC_TIGR03507	energy
	DFE_operons	Fe:DFE_0448 | Fe:DFE_0449 | Fe:DFE_0450 | Fe:DFE_0451 | Fe:DFE_0461 | Fe:DFE_0462 | Fe:DFE_0463 | Fe:DFE_0464 | Fe:DFE_0465	energy
N reducer	Nreducer	ETC50 & [NitrateReductase | NitriteReductase | NitricOxideReductase | NitrousOxideReductase]	energy
Fumarate Reduction	FumarateReduction	at_least(1,FumarateReductionParts)	energy
	FumarateReductionParts	K00244,K00245,K00246,K00247	energy
Tetrathionate Reduction	TetrathionateReduction	[1ofttrrs & 1ofttrabc] | 2ofttrabc	energy
	1ofttrrs	K13040 | K13041	energy
	2ofttrabc	at_least(2,ttrabc)	energy
	1ofttrabc	at_least(1,ttrabc)	energy
	ttrabc	K08359,K08358,K08357	energy
DNRA	DNRA	nirBD | nrfAH	energy
	nirBD	K00362 | K00363	energy
	nrfAH	K03385 | K15876	energy
Methanotroph	Methanotroph	mmoX | [pmoA & not(AerobicAmmoniaOxidizer) & not(comammox)]	energy	ARCHAEA-MOD: K10944 is the same KEGG ortholog for pmoA AND amoA (CuMMO superfamily); exclude AOA/comammox to avoid misclassifying ammonia oxidizers
	pmoA	K10944 | EC1.14.18.3	energy
	mmoX	K16157	energy
S oxidizer	sulfateoxidizer	[DsrABtypeo | SoeABC | SorAB | Sqr | FccAB | SoxXA | SoxYZ | SoxB | SoxCD] & percent50NADH	energy
	DsrABtypeo	K11180 | S:dsrA | S:dsrB | K11181	energy	BAD dsrAB (oxidizing type) [ --BAD dissimilatory-type sulfite reductase]
	SoeABC	K21307 | K21308 | K21309	energy	GOOD soeABC
	SorAB	K05301 | K00386	energy	MAYBE sorAB  PF07682.11  S:SOR or just the kos I used
	Sqr	S:sqr_alignment | K17218	energy	MAYBE sqr
	FccAB	K17230 | K17229	energy	GOOD fccAB
	SoxXA	K17223 | K17222	energy	GOOD soxXA
	SoxYZ	S:SoxY | K17226 | S:SoxZ | K17227	energy	MAYBE soxYZ
	SoxB	K17224	energy	GOOD soxB
	SoxCD	K17225 | K22622	energy	GOOD soxCD Selected the KO that was SUlpher related
	percent50NADH	percent(50,NADH)	energy	MAYBE 50% of NADH  dehydrogenase with electron acceptor [--BAD is this 2 things]
	NADH	K03934,K03935,K03936,K03937,K03938,K03939,K03940,K03941,K03942,K03943,K03944	energy	I am going to include the optional extra K03934+K03935+K03936+K03937+K03938+K03939+K03940+K03941+K03942+K03943-K03944
S reducer	sulfatereducer	DsrABtyper | PhsA | TtrA	energy
	DsrABtyper	K11180 | S:dsrA | S:dsrB | K11181	energy	BAD dsrAB (reducing type) [dissimilatory-type sulfite reductase in sulpher]
	PhsA	K08352	energy	MAYBE phsA [S:thiosulfate_reductase_phsA_alignment]
	TtrA	K08357	energy	GOOD ttrA
Simple Sugars Glucose	Glucose	K02777 | K02779 | K02791 | K20118 | K18124 | K18125 | K00115 | K00117 | K19813 | K18851 | K00844 | K12407 | K00845 | K25026	carbon
Simple Sugars Sucrose	Sucrose	K01182 | K01203 | K12047 | K01187 | K12316 | K12317 | K06617 | K01193 | K00695 | K02810 | K00690 | K05341 | K00689 | K00692	carbon
Simple Sugars Mannose	Mannose	[K01809 | K02793 | K02794 | K02795] | K02796	carbon
Simple Sugars Galactose	Galactose	[K00849 | K00965 | K01784] | K01785	carbon
Simple Sugars Fucose	Fucose	[K00879 | K01628] | K01818	carbon
Simple Sugars Xylose	Xylose	[K00854 | K01805 | K00008 | K00011 | K00854 | K05351 | K17743 | K00078 | K14273 | K14274] | K14275	carbon
Simple Sugars Fructose	Fructose	K00008 | K00045 | K27924 | K00007 | K00844 | K00847 | K01805 | K00846 | K27475 | K02768 | K02769 | K02770 | K02771 | K11194 | K11195 | K11196	carbon
Simple Sugars Arabinose	Arabinose	K01804 | K00011 | K26066 | K13873 | K19660 | K12446	carbon
Simple Sugars Ribose	Ribose	K00852	carbon
Simple Sugars Rhamnose	Rhamnose	K01813 | K01820 | K18337	carbon
Simple Sugars Maltose	Maltose	K05343 | K00691 | K06896 | K16146 | K00705 | K22451 | K12047 | K01187 | K12316 | K12317	carbon
